Year,Month,Bookings
2006,Jan,383
2006,Feb,366
2006,Mar,250
2006,Apr,318
2006,May,334
2006,Jun,397
2006,Jul,575
2006,Aug,701
2006,Sep,506
2006,Oct,335
2006,Nov,372
2006,Dec,580
2007,Jan,751
2007,Feb,498
2007,Mar,649
2007,Apr,478
2007,May,606
2007,Jun,980
2007,Jul,1137
2007,Aug,1280
2007,Sep,987
2007,Oct,723
2007,Nov,545
2007,Dec,731
2008,Jan,1615
2008,Feb,1219
2008,Mar,940
2008,Apr,670
2008,May,972
2008,Jun,1543
2008,Jul,2079
2008,Aug,1928
2008,Sep,1509
2008,Oct,1047
2008,Nov,712
2008,Dec,1492
2009,Jan,2214
2009,Feb,1928
2009,Mar,1780
2009,Apr,1458
2009,May,1573
2009,Jun,2138
2009,Jul,2864
2009,Aug,3216
2009,Sep,1927
2009,Oct,1415
2009,Nov,1371
2009,Dec,2629
2010,Jan,3392
2010,Feb,3246
2010,Mar,2334
2010,Apr,1723
2010,May,2458
2010,Jun,2709
2010,Jul,4615
2010,Aug,5739
2010,Sep,2913
2010,Oct,1939
2010,Nov,2039
2010,Dec,3312
2011,Jan,7146
2011,Feb,4093
2011,Mar,3537
2011,Apr,2757
2011,May,3045
2011,Jun,4827
2011,Jul,4163
2011,Aug,7811
2011,Sep,4644
2011,Oct,4645
2011,Nov,2980
2011,Dec,4515
2012,Jan,8133
2012,Feb,5337
2012,Mar,3946
2012,Apr,4286
2012,May,4761
2012,Jun,7012
2012,Jul,8237
2012,Aug,8553
2012,Sep,6198
2012,Oct,4872
2012,Nov,4892
2012,Dec,5880
2013,Jan,11878
2013,Feb,9398
2013,Mar,8083
2013,Apr,5634
2013,May,7675
2013,Jun,10328
2013,Jul,10539
2013,Aug,15578
2013,Sep,11067
2013,Oct,7534
2013,Nov,7023
2013,Dec,10733
2014,Jan,11853
2014,Feb,10716
2014,Mar,7405
2014,Apr,7009
2014,May,8340
2014,Jun,12437
2014,Jul,12269
2014,Aug,17367
2014,Sep,10116
2014,Oct,10479
2014,Nov,9874
2014,Dec,13080
2015,Jan,12734
2015,Feb,12876
2015,Mar,9012
2015,Apr,7730
2015,May,9102
2015,Jun,12055
2015,Jul,13496
2015,Aug,18478
2015,Sep,12004
2015,Oct,9789
2015,Nov,10003
2015,Dec,13304
